ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
VULCO - KRALJ MARJAN S.P.,Ljubljanska cesta 6 B,Ivančna Gorica,1295 Ivančna Gorica,OSREDNJESLOVENSKA,45.93854734;14.80131887,0,36.84,21,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;23.04--IVANČNA GORICA;0.13--PRIKLJUČEK IVANČNA GORICA;0.18--MLEŠČEVO;0.28--IVANČNA GORICA;0.04--CESTA 2. GRUPE ODREDOV;0.03--IVANČNA GORICA;0.06--CESTA 2. GRUPE ODREDOV;0.37--SOKOLSKA ULICA;0.22--LJUBLJANSKA CESTA;0.13
VULKANIZERSTVO TOMAŽ DERNIČ S.P.,Habjanova ulica 2,Šmarca,1241 Kamnik,OSREDNJESLOVENSKA,46.19555286;14.59381213,0,30.63,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;17.11--VODICE;0.18--PRIKLJUČEK VODICE;0.25--ŠKOFJELOŠKA CESTA;0.28--VODICE;0.03--KOPITARJEV TRG;0.17--VODIŠKA CESTA;0.87--VODICE;0.49--BUKOVICA PRI VODICAH;0.21--BREG PRI KOMENDI;0.24--ŽEJE PRI KOMENDI;2.16--MOSTE;1.88--KRIŽ;0.91--PODGORJE;0.34--KORENOVA CESTA;0.86--PODGORJE;0.04--ŠMARCA;0.45--KAMNIK;0.14--KAMNIŠKA CESTA;0.39
VULKANIZERSTVO ZAKRAJŠEK ZAKRAJŠEK ALEŠ S.P.,Stara Vrhnika 135,Stara Vrhnika,1360 Vrhnika,OSREDNJESLOVENSKA,45.98423853;14.2797093,0,17.08,12,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;12.1--VRHNIKA;0.27--PRIKLJUČEK VRHNIKA;0.21--LJUBLJANSKA CESTA;0.16--JELOVŠKOVA ULICA;0.08--DELAVSKO NASELJE;0.22--ROBOVA CESTA;0.5--VRHNIKA;0.13--STARA VRHNIKA;1.93
"VULKANIZERSTVO, PRIMOŽ GLOBOKAR S.P.",Cikava 38,Cikava,1290 Grosuplje,OSREDNJESLOVENSKA,45.96647803;14.63278442,0,20.83,13,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;7.04--CIKAVA;0.87--PRIKLJUČEK CIKAVA;0.16--CIKAVA;0.4
"VULKANIZERSTVO, SERVIS IN TRGOVINA GREGOR IHAN S.P.",Tržaška cesta 133,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.03811591;14.47023547,0,4.34,5,TRŽAŠKA CESTA;4.34
VULKAPLAST D.O.O.,Stara Vrhnika 78,Stara Vrhnika,1360 Vrhnika,OSREDNJESLOVENSKA,45.97648499;14.2801193,0,16.16,11,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;12.1--VRHNIKA;0.27--PRIKLJUČEK VRHNIKA;0.21--LJUBLJANSKA CESTA;0.16--JELOVŠKOVA ULICA;0.08--DELAVSKO NASELJE;0.22--ROBOVA CESTA;0.5--VRHNIKA;0.13--STARA VRHNIKA;1.01
"VULPRA, AVTOPRALNICA IN VULKANIZERSTVO, D.O.O.",Ljubljanska cesta 39,Trzin,1236 Trzin,OSREDNJESLOVENSKA,46.38801255;15.57008872,0,114.61,61,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;95.28--SLOVENSKA BISTRICA - JUG;0.14--PRIKLJUČEK SLOVENSKA BISTRICA JUG;0.8--LJUBLJANSKA CESTA;0.21
ŽAVBI JANEZ S.P.,Šmartno v Tuhinju 21,Šmartno v Tuhinju,1219 Laze v Tuhinju,OSREDNJESLOVENSKA,46.21393848;14.73443175,0,48.56,37,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;14.43--LUKOVICA;0.47--LUKOVICA PRI DOMŽALAH;0.24--KOSESKEGA CESTA;0.12--TROJANSKA CESTA;0.64--PODPEČ;0.54--TRNJAVA;1.31--KOMPOLJE;1.05--KRAŠNJA;2.44--SPODNJE LOKE;0.54--KRAJNO BRDO;1.24--VRH NAD KRAŠNJO;1.34--GABROVNICA;0.87--;1.8--PŠAJNOVICA;1.01--;1.7--ŠMARTNO V TUHINJU;0.62
"CIM, PODJETJE ZA TRGOVINO, D.O.O.",Ljubljanska cesta 1,Domžale,1230 Domžale,OSREDNJESLOVENSKA,46.13556339;14.58033825,0,21.55,16,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;5.45--LJ. - TOMAČEVO;0.21--CESTA JANEZA PORENTE;0.1--RONDO TOMAČEVO;0.44--ŠTAJERSKA CESTA;3.98--LJUBLJANSKA CESTA;1.83--TRZIN;1.06--DEPALA VAS;0.7--DOMŽALE;0.11--LJUBLJANSKA CESTA;0.07
IMPERL TRGOVSKO PODJETJE D.O.O.PE : AC DOMŽALE,Ljubljanska cesta 1,Domžale,1230 Domžale,OSREDNJESLOVENSKA,46.13556339;14.58033825,0,21.55,16,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;5.45--LJ. - TOMAČEVO;0.21--CESTA JANEZA PORENTE;0.1--RONDO TOMAČEVO;0.44--ŠTAJERSKA CESTA;3.98--LJUBLJANSKA CESTA;1.83--TRZIN;1.06--DEPALA VAS;0.7--DOMŽALE;0.11--LJUBLJANSKA CESTA;0.07
"NOVAK, IZPUŠNI SISTEMI, D.O.O.SERVISNI CENTER LJUBLJANA",Dolenjska cesta 138,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.03309183;14.5274218,0,9.58,10,TRŽAŠKA CESTA;6.49--AŠKERČEVA CESTA;0.47--ZOISOVA CESTA;0.33--ŠENTJAKOBSKI MOST;0.06--KARLOVŠKA CESTA;0.74--KARLOVŠKI MOST;0.1--DOLENJSKA CESTA;1.4
POSLOVNA ENOTA MEDVODE,Gorenjska cesta 50 C,Medvode,1215 Medvode,OSREDNJESLOVENSKA,46.14839736;14.40871405,0,18.44,16,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;2.54--ZBILJSKA CESTA;0.16--PODVIZOVA ULICA;0.17
"PRAČEK TRGOVINA Z AVTODELI, D.O.O.AVTOMEHANIKA IN VULKANIZERSTVO",Dunajska cesta 229,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.09265677;14.51453903,0,13.4,9,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;4.42--LJ. - BEŽIGRAD;0.19--;0.1--DUNAJSKA CESTA;1.08
SPORTSTIL KART D.O.O.PE VULKANIZERSTVO,Dunajska cesta 337,Ljubljana,1231 Ljubljana - Črnuče,OSREDNJESLOVENSKA,46.10164693;14.52572638,0,15.03,11,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;4.42--LJ. - BEŽIGRAD;0.19--;0.1--DUNAJSKA CESTA;2.66--PEČARJEVA ULICA;0.05
VITOX HOČEVAR D.O.O.,Ambrus 29 A,Ambrus,1303 Zagradec,OSREDNJESLOVENSKA,45.8308023;14.81530423,0,50.78,35,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;23.04--IVANČNA GORICA;0.13--PRIKLJUČEK IVANČNA GORICA;0.18--MRZLO POLJE;0.47--ŠKRJANČE;0.53--GORENJA VAS;0.54--MALO ČRNELO;0.57--MULJAVA;2.19--POTOK PRI MULJAVI;0.54--ZNOJILE PRI KRKI;0.52--KRŠKA VAS;0.8--GABROVČEC;1.19--VELIKE LESE;0.98--MARINČA VAS;1.23--FUŽINA;1.02--GRINTOVEC;1.93--KUŽELJEVEC;0.57--KAL;1.31--KAMNI VRH PRI AMBRUSU;0.04--KAL;0.37--AMBRUS;0.26
VITOX HOČEVAR D.O.O.,Ambrus 116,Ambrus,1303 Zagradec,OSREDNJESLOVENSKA,45.8315605;14.81679488,0,50.69,34,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;23.04--IVANČNA GORICA;0.13--PRIKLJUČEK IVANČNA GORICA;0.18--MRZLO POLJE;0.47--ŠKRJANČE;0.53--GORENJA VAS;0.54--MALO ČRNELO;0.57--MULJAVA;2.19--POTOK PRI MULJAVI;0.54--ZNOJILE PRI KRKI;0.52--KRŠKA VAS;0.8--GABROVČEC;1.19--VELIKE LESE;0.98--MARINČA VAS;1.23--FUŽINA;1.02--GRINTOVEC;1.93--KUŽELJEVEC;0.57--KAL;1.31--KAMNI VRH PRI AMBRUSU;0.04--KAL;0.3--AMBRUS;0.25
VULKANIZERSTVO IN AVTOSERVIS ANDREJ HOČEVAR S.P.,Kajuhova ulica 32 M,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.06141226;14.53746957,0,11.51,12,TRŽAŠKA CESTA;6.49--BLEIWEISOVA CESTA;1.2--TIVOLSKA CESTA;0.41--SLOVENSKA CESTA;0.01--DUNAJSKA CESTA;0.24--VILHARJEVA CESTA;1.05--ŠMARTINSKA CESTA;1.31--KAJUHOVA ULICA;0.79
AVTOVLEKA IN VULKANIZERSTVO GORAN NJENJIĆ S.P.,Podhojni Hrib 8,Podhojni Hrib,1314 Rob,OSREDNJESLOVENSKA,45.85415715;14.57261243,0,31.99,33,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;5.57--LJ. - RUDNIK;0.14--PRIKLJUČEK LJ. - RUDNIK;0.15--PERUZZIJEVA ULICA;0.64--IŽANSKA CESTA;2.02--IŠKA LOKA;1.07--IG;0.01--LJUBLJANSKA CESTA;3.45--BANIJA;0.04--ZABRV;0.68--CESTA NA KUREŠČEK;0.63--IG;0.95--DOBRAVICA;0.76--PODGOZD;1.37--ŠKRILJE;1.52--GOLO;2.1--;0.9--VISOKO;0.32--ZAPOTOK;1.61--OSREDEK;2.99--;0.48--OSREDEK;0.12--VELIKI OSOLNIK;0.23--PODHOJNI HRIB;0.12
EUROGUME D.O.O.,Ljubljanska cesta 15,Kamnik,1241 Kamnik,OSREDNJESLOVENSKA,46.20679756;14.59835605,0,31.35,24,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;17.11--VODICE;0.18--PRIKLJUČEK VODICE;0.25--ŠKOFJELOŠKA CESTA;0.28--VODICE;0.03--KOPITARJEV TRG;0.17--VODIŠKA CESTA;0.87--VODICE;0.49--BUKOVICA PRI VODICAH;0.21--BREG PRI KOMENDI;0.24--ŽEJE PRI KOMENDI;2.16--MOSTE;1.88--KRIŽ;0.91--PODGORJE;0.34--KORENOVA CESTA;0.86--PODGORJE;0.04--ŠMARCA;0.45--KAMNIK;0.22--DOMŽALSKA CESTA;0.19--LJUBLJANSKA CESTA;0.84
GB 71 VULKANIZERSTVO GREGOR BUŽGA S.P.,Hruševska cesta 92 A,Ljubljana,1000 Ljubljana,OSREDNJESLOVENSKA,46.0403261;14.55692173,0,18.55,13,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A1;3.64--LJ. - BIZOVIK;0.31--LITIJSKA CESTA;0.53--;0.62--HRUŠEVSKA CESTA;1.02--KROŽNA POT;0.07
AC MAKOTER D.O.O.,Ulica Ante Trstenjaka 17,Ljutomer,9240 Ljutomer,POMURSKA,46.51166341;16.20798592,0,190.52,107,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;37.52--VUČJA VAS;0.12--PRIKLJUČEK VUČJA VAS;0.19--BUČEČOVCI;1.0--STARA NOVA VAS;1.28--ILJAŠEVCI;0.81--KRIŽEVCI PRI LJUTOMERU;1.47--BORECI;0.27--KLJUČAROVCI PRI LJUTOMERU;0.91--LUKAVCI;1.52--NORŠINCI PRI LJUTOMERU;2.16--BABINCI;0.01--NORŠINCI PRI LJUTOMERU;0.02--KOLODVORSKA ULICA;0.14--LJUTOMER;0.03--KOLODVORSKA ULICA;1.02--PREŠERNOVA ULICA;0.65--SLAVKA OSTERCA ULICA;0.28--RAJH NADE ULICA;0.17--ORMOŠKA CESTA;0.74--LENDAVSKA CESTA;0.22--ULICA ANTE TRSTENJAKA;0.23
"AVTO KOVAČ, LEOPOLD KOVAČ, S.P.",Segovci 44 C,Segovci,9253 Apače,POMURSKA,46.69236683;15.92627612,0,171.51,96,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;10.95--LENART;0.18--PRIKLJUČEK LENART;0.07--LORMANJE;0.85--LENART V SLOV. GORICAH;0.16--MARIBORSKA CESTA;0.6--TRG OSVOBODITVE;0.05--KRAIGHERJEVA ULICA;1.58--SPODNJI PORČIČ;1.07--ZGORNJI PORČIČ;1.04--SPODNJI ŽERJAVCI;0.64--ZGORNJI PORČIČ;0.21--MARIBORSKA CESTA;1.33--BENEDIKT;0.8--RADGONSKA CESTA;1.25--TRSTENIK;1.46--IHOVA;1.45--SPODNJA ŠČAVNICA;2.9--PLITVIČKI VRH;0.12--SPODNJA ŠČAVNICA;0.08--PLITVIČKI VRH;1.04--PLITVICA;1.8--SEGOVCI;2.1
AVTO REŽONJA D.O.O.,Nemčavci 39 B,Nemčavci,9221 Martjanci,POMURSKA,46.68346922;16.18108225,0,190.6,105,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--;0.46--BAKOVSKA ULICA;2.14--GREGORČIČEVA ULICA;0.13--CANKARJEVA ULICA;0.03--PANONSKA ULICA;0.24--INDUSTRIJSKA ULICA;0.99--LENDAVSKA ULICA;0.47--OBRTNA ULICA;0.01--NEMČAVCI;1.79
"AVTOCENTER SIMON, POPRAVILA IN VZDRŽEVANJE VOZIL TER OKREPČEVALNICA, D.O.O.",Panonska ulica 35,Bakovci,9000 Murska Sobota,POMURSKA,46.61872044;16.15353061,0,185.87,99,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.37--SOBOŠKA ULICA;1.21--PANONSKA ULICA;0.23--;0.09
"AVTOKLINIKA MS, IGOR PETROVIĆ S.P.",Tišinska ulica 16,Murska Sobota,9000 Murska Sobota,POMURSKA,46.65337589;16.14818001,0,187.6,100,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--MURSKA SOBOTA;2.5--SATAHOVCI;0.08--TIŠINSKA ULICA;0.69
AVTOLIČARSTVO CIPOT D.O.O.,Lukačevci 9,Lukačevci,9226 Moravske Toplice,POMURSKA,46.66666488;16.21879795,0,194.41,107,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;47.79--LIPOVCI;0.12--PRIKLJUČEK LIPOVCI;0.2--LIPOVCI;0.4--RAKIČAN;0.48--LENDAVSKA ULICA;1.22--CVETKOVA ULICA;1.47--NORŠINSKA ULICA;0.99--NORŠINCI;1.31--MLAJTINCI;0.48--LUKAČEVCI;0.18
AVTOMEHANIKA EMIL POČIČ S.P.,Fokovci 39,Fokovci,9208 Fokovci,POMURSKA,46.73759832;16.26672214,0,201.78,117,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--;0.46--BAKOVSKA ULICA;2.14--GREGORČIČEVA ULICA;0.13--CANKARJEVA ULICA;0.03--PANONSKA ULICA;0.24--INDUSTRIJSKA ULICA;0.99--LENDAVSKA ULICA;0.47--OBRTNA ULICA;0.01--NEMČAVCI;2.11--MARTJANCI;2.08--SEBEBORCI;2.25--ANDREJCI;3.87--IVANOVCI;0.23--FOKOVCI;2.42
AVTOMEHANIKA IN TRGOVINA MILAN ŠPILAK S.P.,Ulica 4. maja 13,Turnišče,9224 Turnišče,POMURSKA,46.62266765;16.32150369,0,199.1,106,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;57.21--TURNIŠČE;0.18--PRIKLJUČEK TURNIŠČE;0.19--GOMILICA;0.1--TURNIŠČE;0.7--ULICA ŠTEFANA KOVAČA;0.76--ULICA 4. MAJA;0.2
"AVTOMEHANIKA, DUŠAN ŽIŽEK S.P.",Žižki 57,Žižki,9232 Črenšovci,POMURSKA,46.57120602;16.30492237,0,198.93,110,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;47.79--LIPOVCI;0.12--PRIKLJUČEK LIPOVCI;0.2--LIPOVCI;1.92--BRATONCI;0.87--PANONSKA ULICA;3.24--ODRANCI;1.25--PANONSKA ULICA;0.63--DOLINSKA ULICA;0.67--;0.88--TRNJE;0.96--ŽIŽKI;0.63
"AVTOSERVIS ALEŠ, ALEŠ PELCAR, S.P.",Šalamenci 70,Šalamenci,9201 Puconci,POMURSKA,46.72734007;16.12710389,0,197.61,112,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--MURSKA SOBOTA;1.74--KROŠKA ULICA;1.03--CANKARJEVA ULICA;0.11--ULICA MIKLOŠA KUZMIČA;0.6--SEVERJEVA ULICA;0.26--CIRIL METODOVA ULICA;0.34--KOPALIŠKA ULICA;1.41--MARKIŠAVCI;2.59--PUCONCI;2.15--GORICA;1.16--ŠALAMENCI;1.89
BENKIČ FRANC S.P.,Vanča vas 23,Vanča vas,9251 Tišina,POMURSKA,46.66839726;16.09511106,0,184.09,105,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;28.2--PRIKLJUČEK SV. JURIJ OB ŠČAVNICI;0.76--GRABONOŠ;1.24--OKOSLAVCI;2.32--KOCJAN;0.05--KAPELSKI VRH;0.02--KOCJAN;0.04--KAPELSKI VRH;1.6--PARIČJAK;1.16--RADENCI;0.54--KAPELSKA CESTA;1.02--LJUTOMERSKA CESTA;0.05--RADGONSKA CESTA;0.37--PANONSKA CESTA;0.72--PETANJCI;3.5--TIŠINA;0.99--ŠOLSKA ULICA;0.16--TIŠINA;0.09--ŠOLSKA ULICA;0.02--;0.9--VANČA VAS;0.57
"BINT, AVTODIAGNOSTIKA, D.O.O.",Ulica ob Ložiču 5,Krog,9000 Murska Sobota,POMURSKA,46.64084703;16.13786938,0,187.59,100,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--MURSKA SOBOTA;1.74--KROŠKA ULICA;0.28--MURSKA ULICA;0.88--PLEČNIKOVA ULICA;0.17--LINHARTOVA ULICA;0.09--ULICA OB LOŽIČU;0.09
ČEPLAK VULKANIZERSTVO D.O.O.,Partizanska cesta 55,Gornja Radgona,9250 Gornja Radgona,POMURSKA,46.67232577;15.99464232,0,172.75,97,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;10.95--LENART;0.18--PRIKLJUČEK LENART;0.07--LORMANJE;0.85--LENART V SLOV. GORICAH;0.16--MARIBORSKA CESTA;0.6--TRG OSVOBODITVE;0.05--KRAIGHERJEVA ULICA;1.58--SPODNJI PORČIČ;1.07--ZGORNJI PORČIČ;1.04--SPODNJI ŽERJAVCI;0.64--ZGORNJI PORČIČ;0.21--MARIBORSKA CESTA;1.33--BENEDIKT;0.8--RADGONSKA CESTA;1.25--TRSTENIK;1.46--IHOVA;1.45--SPODNJA ŠČAVNICA;2.9--PLITVIČKI VRH;0.12--SPODNJA ŠČAVNICA;0.08--PLITVIČKI VRH;0.69--LOMANOŠE;2.05--PODGRAD;1.68--APAŠKA CESTA;0.86--PARTIZANSKA CESTA;0.69--VREČOVA CESTA;0.2
GUMI CENTER GABERJE D.O.O.,Marof 4,Gaberje - Gyertyanos,9220 Lendava - Lendva,POMURSKA,46.55090481;16.41097985,0,213.54,115,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;70.56--LENDAVA;0.11--PRIKLJUČEK LENDAVA;0.09--DOLNJI LAKOŠ;0.03--GLAVNA ULICA;2.46--SPODNJA ULICA;0.44--MAROF;0.07
"PC ZORMAN, AVTOOPTIKA VULKANIZERSTVO HITRI SERVIS, ZORMAN ALEŠ S.P.",Lomanoše 6 B,Lomanoše,9250 Gornja Radgona,POMURSKA,46.67504084;15.95677404,0,169.19,93,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;10.95--LENART;0.18--PRIKLJUČEK LENART;0.07--LORMANJE;0.85--LENART V SLOV. GORICAH;0.16--MARIBORSKA CESTA;0.6--TRG OSVOBODITVE;0.05--KRAIGHERJEVA ULICA;1.58--SPODNJI PORČIČ;1.07--ZGORNJI PORČIČ;1.04--SPODNJI ŽERJAVCI;0.64--ZGORNJI PORČIČ;0.21--MARIBORSKA CESTA;1.33--BENEDIKT;0.8--RADGONSKA CESTA;1.25--TRSTENIK;1.46--IHOVA;1.45--SPODNJA ŠČAVNICA;2.9--PLITVIČKI VRH;0.12--SPODNJA ŠČAVNICA;0.08--PLITVIČKI VRH;0.69--LOMANOŠE;1.93
TRGOVINA IN SERVIS GEAL BORUT GERGEK S.P.,Puconci 61,Puconci,9201 Puconci,POMURSKA,46.70624118;16.15442911,0,194.02,108,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--MURSKA SOBOTA;1.74--KROŠKA ULICA;1.03--CANKARJEVA ULICA;0.11--ULICA MIKLOŠA KUZMIČA;0.6--SEVERJEVA ULICA;0.26--CIRIL METODOVA ULICA;0.34--KOPALIŠKA ULICA;1.41--MARKIŠAVCI;2.59--PUCONCI;1.61
"VULKANIZERSTVO F1, MARJAN MARTINEC S.P.",Cankova 36,Cankova,9261 Cankova,POMURSKA,46.71907287;16.02125995,0,188.94,110,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;28.2--PRIKLJUČEK SV. JURIJ OB ŠČAVNICI;0.76--GRABONOŠ;1.24--OKOSLAVCI;2.32--KOCJAN;0.05--KAPELSKI VRH;0.02--KOCJAN;0.04--KAPELSKI VRH;1.6--PARIČJAK;1.16--RADENCI;0.54--KAPELSKA CESTA;1.02--LJUTOMERSKA CESTA;0.05--RADGONSKA CESTA;0.37--PANONSKA CESTA;0.72--PETANJCI;2.27--MURSKI PETROVCI;1.2--SODIŠINCI;1.14--GEDEROVCI;0.75--KRAJNA;1.15--SKAKOVCI;2.88--CANKOVA;1.69
